GUID,Visual Name,Latest Version,Library Name,Library Version,License Type,Is GPL Family,Is Certified,Popularity
KPIVizA96234ADB8D143D1837FEC426BB34781,KPI by Powerviz,1.0.0.4,Leaflet,,BSD-2-Clause,False,True,0.98
KPIVizA96234ADB8D143D1837FEC426BB34781,KPI by Powerviz,1.0.0.4,ag-Grid,,Commercial/MIT,False,True,0.98
KPIVizA96234ADB8D143D1837FEC426BB34781,KPI by Powerviz,1.0.0.4,Bootstrap,,MIT,False,True,0.98
KPIVizA96234ADB8D143D1837FEC426BB34781,KPI by Powerviz,1.0.0.4,jsrsasign,,MIT,False,True,0.98
KPIVizA96234ADB8D143D1837FEC426BB34781,KPI by Powerviz,1.0.0.4,Globalize,,MIT,False,True,0.98
KPIVizA96234ADB8D143D1837FEC426BB34781,KPI by Powerviz,1.0.0.4,Chart.js,,MIT,False,True,0.98
Multi_target_KPI,Multi target KPI,1.3.3.6,Globalize,,MIT,False,True,0.98
orgChart021B261450284A21B688B59A7342AC52,Org Chart Drag and Drop,1.2.9.0,JSZip,,MIT/GPL-3.0,True,True,0.98
bciCalendarCC0FA2BFE4B54EE1ACCFE383B9B1DE61,Beyondsoft Calendar,1.2.0.0,d3.js,,ISC,False,True,0.979
bciCalendarCC0FA2BFE4B54EE1ACCFE383B9B1DE61,Beyondsoft Calendar,1.2.0.0,Leaflet,,BSD-2-Clause,False,True,0.979
bciCalendarCC0FA2BFE4B54EE1ACCFE383B9B1DE61,Beyondsoft Calendar,1.2.0.0,Globalize,,MIT,False,True,0.979
linearGauge8C105C35DD8E4826903041C089AF454F,Linear Gauge by Powerviz,1.0.0.3,React,,MIT,False,True,0.979
linearGauge8C105C35DD8E4826903041C089AF454F,Linear Gauge by Powerviz,1.0.0.3,Leaflet,,BSD-2-Clause,False,True,0.979
linearGauge8C105C35DD8E4826903041C089AF454F,Linear Gauge by Powerviz,1.0.0.3,ag-Grid,,Commercial/MIT,False,True,0.979
linearGauge8C105C35DD8E4826903041C089AF454F,Linear Gauge by Powerviz,1.0.0.3,Bootstrap,,MIT,False,True,0.979
linearGauge8C105C35DD8E4826903041C089AF454F,Linear Gauge by Powerviz,1.0.0.3,jsrsasign,,MIT,False,True,0.979
linearGauge8C105C35DD8E4826903041C089AF454F,Linear Gauge by Powerviz,1.0.0.3,Quill,,BSD-3-Clause,False,True,0.979
linearGauge8C105C35DD8E4826903041C089AF454F,Linear Gauge by Powerviz,1.0.0.3,Globalize,,MIT,False,True,0.979
multiLineChartA7F3AE9EF91E48C78A2807BCA25C2765,Multi Line Chart with Tooltips,1.3.3.0,Moment.js,,MIT,False,True,0.979
multiLineChartA7F3AE9EF91E48C78A2807BCA25C2765,Multi Line Chart with Tooltips,1.3.3.0,Globalize,,MIT,False,True,0.979
sparklines50DB3783432B40A69C0B91926CE74CD9,Multiple Sparklines,65.40.0.0,Leaflet,,BSD-2-Clause,False,True,0.979
sparklines50DB3783432B40A69C0B91926CE74CD9,Multiple Sparklines,65.40.0.0,Globalize,,MIT,False,True,0.979
financialreportingmatrixD8A502553641450F8EAEB9BA40B2166E,Financial Reporting Matrix by Profitbase,8.3.0.1,Moment.js,,MIT,False,True,0.978
financialreportingmatrixD8A502553641450F8EAEB9BA40B2166E,Financial Reporting Matrix by Profitbase,8.3.0.1,Leaflet,,BSD-2-Clause,False,True,0.978
financialreportingmatrixD8A502553641450F8EAEB9BA40B2166E,Financial Reporting Matrix by Profitbase,8.3.0.1,DOMPurify,,Apache-2.0/MPL-2.0,False,True,0.978
financialreportingmatrixD8A502553641450F8EAEB9BA40B2166E,Financial Reporting Matrix by Profitbase,8.3.0.1,Quill,,BSD-3-Clause,False,True,0.978
financialreportingmatrixD8A502553641450F8EAEB9BA40B2166E,Financial Reporting Matrix by Profitbase,8.3.0.1,Globalize,,MIT,False,True,0.978
financialreportingmatrixD8A502553641450F8EAEB9BA40B2166E,Financial Reporting Matrix by Profitbase,8.3.0.1,JSZip,,MIT/GPL-3.0,True,True,0.978
ForceGraph1449359463895,Force-Directed Graph,2.0.2.0,Leaflet,,BSD-2-Clause,False,True,0.978
hierarchyChartByAkvelon6F792A8745784877BCD8F4ACA5AD4207,Hierarchy Chart by Akvelon,1.0.1.0,d3.js,,ISC,False,True,0.978
hierarchyChartByAkvelon6F792A8745784877BCD8F4ACA5AD4207,Hierarchy Chart by Akvelon,1.0.1.0,Leaflet,,BSD-2-Clause,False,True,0.978
HeatMap67B54F74B5374B9EA95AC568DC37B14C,Heatmap by Powerviz,1.0.0.6,React,,MIT,False,True,0.977
HeatMap67B54F74B5374B9EA95AC568DC37B14C,Heatmap by Powerviz,1.0.0.6,Leaflet,,BSD-2-Clause,False,True,0.977
HeatMap67B54F74B5374B9EA95AC568DC37B14C,Heatmap by Powerviz,1.0.0.6,ag-Grid,,Commercial/MIT,False,True,0.977
HeatMap67B54F74B5374B9EA95AC568DC37B14C,Heatmap by Powerviz,1.0.0.6,Bootstrap,,MIT,False,True,0.977
HeatMap67B54F74B5374B9EA95AC568DC37B14C,Heatmap by Powerviz,1.0.0.6,jsrsasign,,MIT,False,True,0.977
HeatMap67B54F74B5374B9EA95AC568DC37B14C,Heatmap by Powerviz,1.0.0.6,Globalize,,MIT,False,True,0.977
eaTachometer6616D82ED23A4C048E1D3CD4604742ED,Tachometer by E&A,3.6.0.0,jQuery,,MIT,False,True,0.977
paretoplus2EFEC13210A14D3E82580687601DE984,Pareto+,1.1.6.2,Leaflet,,BSD-2-Clause,False,True,0.976
paretoplus2EFEC13210A14D3E82580687601DE984,Pareto+,1.1.6.2,Globalize,,MIT,False,True,0.976
SmartFilterProByOKViz00000000000000000000000000000000,Smart Filter Pro by OKVIZ,2.4.0.0,d3.js,,ISC,False,False,0.976
SmartFilterProByOKViz00000000000000000000000000000000,Smart Filter Pro by OKVIZ,2.4.0.0,jQuery,,MIT,False,False,0.976
SmartFilterProByOKViz00000000000000000000000000000000,Smart Filter Pro by OKVIZ,2.4.0.0,jsrsasign,,MIT,False,False,0.976
SmartFilterProByOKViz00000000000000000000000000000000,Smart Filter Pro by OKVIZ,2.4.0.0,Globalize,,MIT,False,False,0.976
zebraBiCards2C860CFAA9944091B75F0DBD117F20FA,Zebra BI Cards,7.4.2.115,jQuery,,MIT,False,True,0.976
zebraBiCards2C860CFAA9944091B75F0DBD117F20FA,Zebra BI Cards,7.4.2.115,Leaflet,,BSD-2-Clause,False,True,0.976
zebraBiCards2C860CFAA9944091B75F0DBD117F20FA,Zebra BI Cards,7.4.2.115,Quill,,BSD-3-Clause,False,True,0.976
zebraBiCards2C860CFAA9944091B75F0DBD117F20FA,Zebra BI Cards,7.4.2.115,Globalize,,MIT,False,True,0.976
radarChart,Radar Chart by Clear Peaks,1.5.4.2,ECharts,,Apache-2.0,False,False,0.975
