GUID,Visual Name,Latest Version,Is Certified,Popularity,Finding Category,Finding Pattern,Detection Method,ESLint Rule,Code Origin,Library Name,Occurrence Count,Severity,Present in Prior Version
iconMapProE938B1CED4834168A55864E1F8E7242E,Icon Map Pro,1.1.0.2,False,0.995,Informational,http:// URL,Regex,no-http-string,Library,(bundled),5,Low,
iconMapProE938B1CED4834168A55864E1F8E7242E,Icon Map Pro,1.1.0.2,False,0.995,Informational,Math.random(),Regex,insecure-random,Author,,22,Low,
Tachometer1474636471549,Tachometer,3.0.1.0,True,0.995,Dynamic Code Execution,Function(),Regex,no-banned-terms,Author,,1,High,
Tachometer1474636471549,Tachometer,3.0.1.0,True,0.995,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),1,High,
Tachometer1474636471549,Tachometer,3.0.1.0,True,0.995,Network Access,XMLHttpRequest,Regex,(certification requirement),Author,,3,High,
Tachometer1474636471549,Tachometer,3.0.1.0,True,0.995,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,12,Medium,
Tachometer1474636471549,Tachometer,3.0.1.0,True,0.995,DOM Manipulation,.html(data),Regex,no-implied-inner-html,Author,,3,Medium,
Tachometer1474636471549,Tachometer,3.0.1.0,True,0.995,DOM Manipulation,.html(data),Regex,no-implied-inner-html,Library,(bundled),2,Medium,
Tachometer1474636471549,Tachometer,3.0.1.0,True,0.995,Informational,Math.random(),Regex,insecure-random,Author,,9,Low,
BoxandWhiskerByMAQ1823AD39DT234AB532063E128AX,Box and Whisker chart by MAQ Software,4.1.0.1,True,0.994,Dynamic Code Execution,Function(),Regex,no-banned-terms,Author,,2,High,
BoxandWhiskerByMAQ1823AD39DT234AB532063E128AX,Box and Whisker chart by MAQ Software,4.1.0.1,True,0.994,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),2,High,
BoxandWhiskerByMAQ1823AD39DT234AB532063E128AX,Box and Whisker chart by MAQ Software,4.1.0.1,True,0.994,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,6,Medium,
BoxandWhiskerByMAQ1823AD39DT234AB532063E128AX,Box and Whisker chart by MAQ Software,4.1.0.1,True,0.994,DOM Manipulation,.html(data),Regex,no-implied-inner-html,Author,,4,Medium,
BoxandWhiskerByMAQ1823AD39DT234AB532063E128AX,Box and Whisker chart by MAQ Software,4.1.0.1,True,0.994,Sensitive Access,document.domain,Regex,no-document-domain,Author,,1,Medium,
BoxandWhiskerByMAQ1823AD39DT234AB532063E128AX,Box and Whisker chart by MAQ Software,4.1.0.1,True,0.994,Informational,http:// URL,Regex,no-http-string,Author,,1,Low,
BoxandWhiskerByMAQ1823AD39DT234AB532063E128AX,Box and Whisker chart by MAQ Software,4.1.0.1,True,0.994,Informational,Math.random(),Regex,insecure-random,Author,,4,Low,
payPalKPIDonutChart55A431AB15A540ED924ACD72ED8D259F,Circle KPI Gauge,1.0.0.0,False,0.994,Dynamic Code Execution,Function(),Regex,no-banned-terms,Author,,1,High,
payPalKPIDonutChart55A431AB15A540ED924ACD72ED8D259F,Circle KPI Gauge,1.0.0.0,False,0.994,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),1,High,
payPalKPIDonutChart55A431AB15A540ED924ACD72ED8D259F,Circle KPI Gauge,1.0.0.0,False,0.994,Network Access,XMLHttpRequest,Regex,(certification requirement),Author,,3,High,
payPalKPIDonutChart55A431AB15A540ED924ACD72ED8D259F,Circle KPI Gauge,1.0.0.0,False,0.994,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,11,Medium,
