Visual Name,Publisher,GUID,Latest Version,Is Certified,Popularity,Risk Level,Risk Score,Author Findings,Library Findings,Dynamic Code (Author),Network Access (Author),DOM Manipulation (Author),Sensitive Access (Author),Informational (Author),Web Access Permission,Export Content Permission,Local Storage Permission,AAD Auth Permission,External JS Count,Detected Libraries,API Version,Has GPL License,Versions Scanned,Findings Resolved in Latest
Multi Line Chart with Tooltips,Datanauts,multiLineChartA7F3AE9EF91E48C78A2807BCA25C2765,1.3.3.0,True,0.979,High,63,22,5,2,1,16,0,3,False,False,False,False,0,Moment.js; Globalize,5.11.0,False,3,0
Multiple Sparklines,Excelnaccess.com,sparklines50DB3783432B40A69C0B91926CE74CD9,65.40.0.0,True,0.979,High,15,3,1,0,0,3,0,0,False,True,False,False,0,Leaflet; Globalize,5.9.0,False,16,0
Financial Reporting Matrix by Profitbase,Profitbase AS,financialreportingmatrixD8A502553641450F8EAEB9BA40B2166E,8.3.0.1,True,0.978,High,58,95,23,3,0,18,2,72,False,True,False,False,0,Moment.js; Leaflet; DOMPurify; Quill; Globalize; JSZip,5.10.0,True,10,0
Force-Directed Graph,Microsoft Corporation,ForceGraph1449359463895,2.0.2.0,True,0.978,High,78,23,5,4,4,6,0,9,False,False,False,False,0,Leaflet,2.3.0,False,2,0
Hierarchy Chart by Akvelon,Akvelon,hierarchyChartByAkvelon6F792A8745784877BCD8F4ACA5AD4207,1.0.1.0,True,0.978,High,38,12,0,1,1,3,0,7,False,False,False,False,4,d3.js; Leaflet,1.7.0,False,2,0
Heatmap by Powerviz,TRUVIZ INC,HeatMap67B54F74B5374B9EA95AC568DC37B14C,1.0.0.6,True,0.977,High,67,103,17,4,1,45,1,52,False,False,False,False,0,React; Leaflet; ag-Grid; Bootstrap; jsrsasign; Globalize,5.10.0,False,2,0
Tachometer by E&A,Earnest and Associates,eaTachometer6616D82ED23A4C048E1D3CD4604742ED,3.6.0.0,True,0.977,High,49,14,5,2,1,6,0,5,False,False,False,False,0,jQuery,3.6.0,False,2,0
Filter by List,DEVSCOPE,FilterByList507A2DBEC31244C8AAABDE9BA541F723,3.4.0.0,True,0.976,High,20,24,2,0,0,6,0,18,False,False,False,False,0,,5.11.0,False,4,0
Pareto+,sio2Graphs,paretoplus2EFEC13210A14D3E82580687601DE984,1.1.6.2,True,0.976,High,17,8,0,0,0,6,0,2,False,True,False,False,0,Leaflet; Globalize,5.11.0,False,2,0
Smart Filter Pro by OKVIZ,OKVIZ Corp.,SmartFilterProByOKViz00000000000000000000000000000000,2.4.0.0,False,0.976,High,86,46,6,1,5,15,0,25,False,False,False,False,11,d3.js; jQuery; jsrsasign; Globalize,1.13.0,False,6,0
